,image name,car_count,timestamp_true,Count,num_timestamp,month_no,month_name,day,day_of_week,day_of_week_name,is_weekend,hour_of_day
545,Kris_1308-0648.png,0,2023-08-13 06:48:00,0,1691909280.0,8,August,13,6,Sunday,0,6
546,Kris_0208-2133.png,1,2023-08-02 21:33:00,1,1691011980.0,8,August,2,2,Wednesday,0,21
547,Kris_1308-0718.png,0,2023-08-13 07:18:00,0,1691911080.0,8,August,13,6,Sunday,0,7
548,Kris_1006-0608.png,4,2023-06-10 06:08:00,4,1686377280.0,6,June,10,5,Saturday,0,6
549,Kris_1308-1250.png,0,2023-08-13 12:50:00,0,1691931000.0,8,August,13,6,Sunday,0,12
550,Kris_2506-1457.png,21,2023-06-25 14:57:00,21,1687705020.0,6,June,25,6,Sunday,0,14
551,Kris_0708-2129.png,8,2023-08-07 21:29:00,8,1691443740.0,8,August,7,0,Monday,0,21
552,Kris_1108-0254.png,11,2023-08-11 02:54:00,11,1691722440.0,8,August,11,4,Friday,0,2
553,Kris_1008-1050.png,32,2023-08-10 10:50:00,32,1691664600.0,8,August,10,3,Thursday,0,10
554,Kris_0806-1158.png,25,2023-06-08 11:58:00,25,1686225480.0,6,June,8,3,Thursday,0,11
555,Kris_1308-1350.png,0,2023-08-13 13:50:00,0,1691934600.0,8,August,13,6,Sunday,0,13
556,Kris_2006-0402.png,19,2023-06-20 04:02:00,19,1687233720.0,6,June,20,1,Tuesday,0,4
557,Kris_1306-0206.png,13,2023-06-13 02:06:00,13,1686621960.0,6,June,13,1,Tuesday,0,2
558,Kris_1306-0236.png,12,2023-06-13 02:36:00,12,1686623760.0,6,June,13,1,Tuesday,0,2
559,Kris_1206-1902.png,11,2023-06-12 19:02:00,11,1686596520.0,6,June,12,0,Monday,0,19
560,Kris_0808-0230.png,2,2023-08-08 02:30:00,2,1691461800.0,8,August,8,1,Tuesday,0,2
561,Kris_1106-0851.png,13,2023-06-11 08:51:00,13,1686473460.0,6,June,11,6,Sunday,0,8
562,Kris_1308-1420.png,0,2023-08-13 14:20:00,0,1691936400.0,8,August,13,6,Sunday,0,14
563,Kris_1706-1931.png,41,2023-06-17 19:31:00,41,1687030260.0,6,June,17,5,Saturday,0,19
564,Kris_1306-2118.png,17,2023-06-13 21:18:00,17,1686691080.0,6,June,13,1,Tuesday,0,21
565,Kris_0308-2039.png,1,2023-08-03 20:39:00,1,1691095140.0,8,August,3,3,Thursday,0,20
566,Kris_0608-1048.png,6,2023-08-06 10:48:00,6,1691318880.0,8,August,6,6,Sunday,0,10
567,Kris_1108-0324.png,10,2023-08-11 03:24:00,10,1691724240.0,8,August,11,4,Friday,0,3
568,Kris_0508-1342.png,7,2023-08-05 13:42:00,7,1691242920.0,8,August,5,5,Saturday,0,13
569,Kris_2606-1208.png,26,2023-06-26 12:08:00,26,1687781280.0,6,June,26,0,Monday,0,12
570,Kris_1406-0553.png,19,2023-06-14 05:53:00,19,1686721980.0,6,June,14,2,Wednesday,0,5
571,Kris_1008-0348.png,11,2023-08-10 03:48:00,11,1691639280.0,8,August,10,3,Thursday,0,3
572,Kris_2006-0051.png,2,2023-06-20 00:51:00,2,1687222260.0,6,June,20,1,Tuesday,0,0
573,Kris_1008-1822.png,34,2023-08-10 18:22:00,34,1691691720.0,8,August,10,3,Thursday,0,18
574,Kris_1206-1454.png,33,2023-06-12 14:54:00,33,1686581640.0,6,June,12,0,Monday,0,14
575,Kris_1406-0724.png,8,2023-06-14 07:24:00,8,1686727440.0,6,June,14,2,Wednesday,0,7
576,Kris_0308-0104.png,2,2023-08-03 01:04:00,2,1691024640.0,8,August,3,3,Thursday,0,1
577,Kris_0408-0511.png,0,2023-08-04 05:11:00,0,1691125860.0,8,August,4,4,Friday,0,5
578,Kris_1306-2249.png,7,2023-06-13 22:49:00,7,1686696540.0,6,June,13,1,Tuesday,0,22
579,Kris_2006-1415.png,34,2023-06-20 14:15:00,34,1687270500.0,6,June,20,1,Tuesday,0,14
